"","id","genes.plot","avg.exp","pct.exp","avg.exp.scale",".group"
"1","C1","Calca",1.34015023216634,27.8985507246377,-0.800965921088123,1
"2","C1","Cd34",0.036754979604073,1.08695652173913,-0.265523369356275,2
"3","C1","Etv1",0.0339839595280878,1.81159420289855,-0.446429872652183,3
"4","C1","Fxyd2",0.435004130609671,15.9420289855072,-0.905094204224044,4
"5","C1","Gal",1.88711560011874,35.5072463768116,-0.276264230677703,5
"6","C1","Gm7271",0.16222229390465,5.43478260869565,-0.379010099038512,6
"7","C1","Mrgpra3",0.0233767098690248,0.72463768115942,-0.278361884337961,7
"8","C1","Mrgprd",0.0432977701648365,0.72463768115942,-0.355039090582941,8
"9","C1","Nefh",24.1024658311578,95.2898550724638,1.066881340223,9
"10","C1","Nppb",0.00449527097493437,0.36231884057971,-0.283748915384005,10
"11","C1","Piezo2",0.330096911049489,6.52173913043478,-0.95542575586637,11
"12","C1","S100b",0.380733259578108,11.5942028985507,-0.560557486514608,12
"13","C1","Sstr2",0.00122824109488359,0.36231884057971,-0.339249180808329,13
"14","C1","Synpr",4.5932477205683,73.5507246376812,0.69054729806035,14
"15","C1","Tmem233",0.244755484029424,3.6231884057971,-0.613448669943409,15
"16","C1","Tmem45b",0.0145556521451588,1.08695652173913,-0.644488695437887,16
"17","C1","Trpa1",0.0312864459456795,1.81159420289855,-0.461035716566943,17
"18","C1","Trpm8",6.06557066806949,76.8115942028985,2.5,18
"19","C1","Trpv1",1.25206663763476,15.5797101449275,-0.422716378267467,19
"20","C1","Tubb3",19.4473434500056,95.6521739130435,0.677820129383027,20
"21","C2","Calca",7.34050787412079,57.5396825396825,-0.691581431341333,1
"22","C2","Cd34",0.00326175733047343,0.396825396825397,-0.310192969778429,2
"23","C2","Etv1",0.0104322742679153,1.19047619047619,-0.459605986508886,3
"24","C2","Fxyd2",1.15444846761016,30.1587301587302,-0.869051313460676,4
"25","C2","Gal",8.9706354847438,78.1746031746032,1.13470330785402,5
"26","C2","Gm7271",0.00130633504567731,0.396825396825397,-0.432841301532764,6
"27","C2","Mrgpra3",0,0,-0.290545989870222,7
"28","C2","Mrgprd",0,0,-0.37771698396396,8
"29","C2","Nefh",6.76821391239896,75.3968253968254,-0.36636568807737,9
"30","C2","Nppb",0.0430158002230759,0.793650793650794,-0.274068904214853,10
"31","C2","Piezo2",0.11439195906822,3.17460317460317,-0.992595154221587,11
"32","C2","S100b",0.15459539284385,6.74603174603175,-0.593653710949241,12
"33","C2","Sstr2",0.00286237527915315,0.396825396825397,-0.335159009581953,13
"34","C2","Synpr",2.57458516171691,48.8095238095238,0.00642604914840642,14
"35","C2","Tmem233",0.238385187113521,5.15873015873016,-0.6140032292786,15
"36","C2","Tmem45b",0.0424865405741477,0.793650793650794,-0.632409963418332,16
"37","C2","Trpa1",0.355969737888912,10.7142857142857,-0.310520398868744,17
"38","C2","Trpm8",2.9164154370897,53.968253968254,1.22390355140647,18
"39","C2","Trpv1",2.89804832261396,42.8571428571429,0.404187579733016,19
"40","C2","Tubb3",14.006265722982,93.2539682539683,-0.862675356640137,20
"41","C7","Calca",80.4133514860448,91.1894273127753,0.640511785394626,1
